Title,Price,Country of Origin,Product Link
Apple Watch Sport 42mm Space Gray Aluminum Case Black Band Smartwatch,63.64,"Westerville,OH,USA",https://www.ebay.com/itm/Apple-Watch-Sport-42mm-Space-Gray-Aluminum-Case-Black-Band-Smartwatch-/234521407405
Apple Watch Series 3 38mm 42mm ALL COLORS Aluminum Case With Band GPS Cellular,84.99,"Lakewood,NJ,USA",https://www.ebay.com/itm/Apple-Watch-Series-3-38mm-42mm-ALL-COLORS-Aluminum-Case-Band-GPS-Cellular-/125662941144?var=0
Apple Watch S5 A2094 GPS LTE Aluminum 40mm Rose Gold,84.99,"Columbus,OH,USA",https://www.ebay.com/itm/Apple-Watch-S5-A2094-GPS-LTE-Aluminum-40mm-Rose-Gold-/176233831892
Apple Watch S5 A2094 GPS LTE Aluminum 40mm Rose Gold,84.99,"Columbus,OH,USA",https://www.ebay.com/itm/Apple-Watch-S5-A2094-GPS-LTE-Aluminum-40mm-Rose-Gold-/176233855440
Apple Watch Series 3 38mm 42mm GPS + WiFi + Cellular Pink Gold Space Gray Silver,89.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-3-38mm-42mm-GPS-WiFi-Cellular-Pink-Gold-Space-Gray-Silver-/194935793906?var=0
Apple Watch Series 3 38mm / 42mm GPS WiFi + LTE Cellular - Good,94.55,"Crown Point,IN,USA",https://www.ebay.com/itm/Apple-Watch-Series-3-38mm-42mm-GPS-WiFi-LTE-Cellular-Good-/355214711630?var=0
Apple Watch Series 3 38mm 42mm GPS + WiFi + Bluetooth Gold Gray Silver - Good,94.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-3-38mm-42mm-GPS-WiFi-Bluetooth-Gold-Gray-Silver-Good-/404011999294?var=0
Apple Watch Series 3 38mm 42mm GPS+ WIFI + LTE UNLOCKED Gold Gray Silver - Good,99.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-3-38mm-42mm-GPS-WIFI-LTE-UNLOCKED-Gold-Gray-Silver-Good-/195487959196?var=495354174557
Apple Watch Series 3 38 mm Gray Case Black Aluminium Smartwatch Very Good,99.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-3-38-mm-Gray-Case-Black-Aluminium-Smartwatch-Very-Good-/313405749279
Apple Watch Series 4 44mm (GPS + Cellular) Aluminum Case - Used,109.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-4-44mm-GPS-Cellular-Aluminum-Case-Used-/255625294106?var=556153903499
Apple Watch Series 5 (GPS + Cellular) 40mm Smartwatch - Good,124.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-5-GPS-Cellular-40mm-Smartwatch-Good-/254993930996?var=0
Apple Watch Series 5 44 mm Space Gray Aluminum Case with Black Loop GPS,124.99,"Portland,OR,USA",https://www.ebay.com/itm/Apple-Watch-Series-5-44-mm-Space-Gray-Aluminum-Case-Black-Loop-GPS-/133684947930
Apple Watch Series 5 40mm 44mm ALL COLORS Aluminum Case With Band GPS + Cellular,129.99,"Lakewood,NJ,USA",https://www.ebay.com/itm/Apple-Watch-Series-5-40mm-44mm-ALL-COLORS-Aluminum-Case-Band-GPS-Cellular-/126268225885?var=0
Apple Watch Series 4 40mm 44mm GPS + WiFi + Bluetooth Gold Gray Silver - Good,132.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-4-40mm-44mm-GPS-WiFi-Bluetooth-Gold-Gray-Silver-Good-/404026180086?var=0
Apple Watch Series 5 (GPS + Cellular) 44mm Smartwatch - Good,139.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-5-GPS-Cellular-44mm-Smartwatch-Good-/254756333208?var=0
Apple Watch Series 5 (GPS + Cellular) 40mm Smartwatch - Very Good,139.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-5-GPS-Cellular-40mm-Smartwatch-Very-Good-/254616409959?var=0
Apple Watch Series 5 (GPS + Cellular) 44mm Smartwatch - Very Good,144.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-5-GPS-Cellular-44mm-Smartwatch-Very-Good-/254522937787?var=0
Apple Watch SE 40mm 44mm GPS + WiFi + Cellular Pink Gold Gray Silver - Good,149.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-SE-40mm-44mm-GPS-WiFi-Cellular-Pink-Gold-Gray-Silver-Good-/314285776503?var=0
Apple Watch SE (GPS) 40mm Space Grey Aluminium Case with Midnight Sport Band,149.99,"Jacksonville,FL,USA",https://www.ebay.com/itm/Apple-Watch-SE-GPS-40mm-Space-Grey-Aluminium-Case-Midnight-Sport-Band-/145599300714
Apple Watch Series 6 40mm 44mm GPS+ WIFI + LTE UNLOCKED - All Colors - Good,157.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-6-40mm-44mm-GPS-WIFI-LTE-UNLOCKED-All-Colors-Good-/404012047939?var=0
"Apple Watch Series 6 (GPS + Cellular, 44mm) - Aluminium Case - Good",157.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-6-GPS-Cellular-44mm-Aluminium-Case-Good-/255245639683?var=0
Apple Watch Series 6 40mm 44mm GPS + WiFi + Bluetooth - All Colors- Good,161.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-6-40mm-44mm-GPS-WiFi-Bluetooth-All-Colors-Good-/195487978103?var=495354134421
Apple Watch Series SE (2nd Gen) GPS +Cellular 40mm Smart Watch - Excellent,174.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Series-SE-2nd-Gen-GPS-Cellular-40mm-Smart-Watch-Excellent-/185663844107?var=0
Apple Watch SE 2 40mm Starlight Aluminum - Starlight Sport Band MNT33LL/A,179.0,"Rogers,AR,USA",https://www.ebay.com/itm/Apple-Watch-SE-2-40mm-Starlight-Aluminum-Starlight-Sport-Band-MNT33LL-A-/115562660870
Apple Watch SE 2 40mm Midnight Aluminum - Midnight Sport Band MR9X3LL/A,179.0,"Rogers,AR,USA",https://www.ebay.com/itm/Apple-Watch-SE-2-40mm-Midnight-Aluminum-Midnight-Sport-Band-MR9X3LL-A-/126215778507
Apple Watch SE 2 40mm Starlight Aluminum - Starlight Sport Band MR9U3LL/A,179.0,"Rogers,AR,USA",https://www.ebay.com/itm/Apple-Watch-SE-2-40mm-Starlight-Aluminum-Starlight-Sport-Band-MR9U3LL-A-/115970552314
Apple Watch SE 2nd Gen 40mm GPS Starlight Case & Band S/M MR9U3LL/A 2023 Model,179.99,USA,https://www.ebay.com/itm/Apple-Watch-SE-2nd-Gen-40mm-GPS-Starlight-Case-Band-S-M-MR9U3LL-A-2023-Model-/134795957975
Apple Watch Series 7 45MM Aluminum case GPS + LTE Smartwatch - Used,179.99,"Astoria,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-45MM-Aluminum-case-GPS-LTE-Smartwatch-Used-/256004923483?var=555956294210
Apple Watch SE Series  (2nd Gen) GPS +Cellular 44mm Smart Watch - Excellent,179.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-SE-Series-2nd-Gen-GPS-Cellular-44mm-Smart-Watch-Excellent-/155391683240?var=455594388850
Apple Watch (GPS + LTE) Series 7 45MM Midnight Aluminum Case Midnight Sport Band,189.95,"Flower Mound,TX,USA",https://www.ebay.com/itm/Apple-Watch-GPS-LTE-Series-7-45MM-Midnight-Aluminum-Case-Midnight-Sport-Band-/364534343887
Apple Watch Nike SE (GPS) 44mm Silver Aluminum Case with Pure Platinum/Black Nik,189.99,"Flushing,NY,USA",https://www.ebay.com/itm/Apple-Watch-Nike-SE-GPS-44mm-Silver-Aluminum-Case-Pure-Platinum-Black-Nik-/225501293695
Apple Watch Series 7 41mm 45mm GPS + WiFi + Cellular Blue Black Green Starlight,189.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-41mm-45mm-GPS-WiFi-Cellular-Blue-Black-Green-Starlight-/314208138435?var=0
Apple Watch Series 7 41mm GPS + WiFi + Cellular Unlocked Aluminum Case - Good,191.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-41mm-GPS-WiFi-Cellular-Unlocked-Aluminum-Case-Good-/404057662041?var=673939010313
Apple Watch SE 44mm Gold Aluminum Case Starlight Sport Band GPS + Cellular - NEW,199.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-SE-44mm-Gold-Aluminum-Case-Starlight-Sport-Band-GPS-Cellular-NEW-/166587815751
Apple Watch Series 7 45mm GPS + WiFi + Cellular Unlocked Aluminum Case - Good,201.99,"Inglewood,CA,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-45mm-GPS-WiFi-Cellular-Unlocked-Aluminum-Case-Good-/404057662889?var=673939059080
Apple Watch Series 7 41mm Gps Aluminum Sport Band 32gb - Very Good,219.0,"Linden,NJ,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-41mm-Gps-Aluminum-Sport-Band-32gb-Very-Good-/144613598196?var=0
Apple Watch Series 7 Aluminum 41mm 45mm GPS - Cellular WiFi All Colors Very Good,219.0,"Bloomington,IN,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-Aluminum-41mm-45mm-GPS-Cellular-WiFi-All-Colors-Very-Good-/225309674283?var=524623838728
Apple Watch Series 7 Stainless Steel GPS +Cellular,230.0,"Bloomington,IN,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-Stainless-Steel-GPS-Cellular-/225827899047?var=0
"Apple Watch Series 7 GPS & Cell Blue, Green, Black, Red, Starlight Excellent",239.0,"Brooklyn,NY,USA",https://www.ebay.com/itm/Apple-Watch-Series-7-GPS-Cell-Blue-Green-Black-Red-Starlight-Excellent-/155861530764?var=0
Apple Watch Series 8 - GPS + Cell - 45mm Midnight Alum Case - Midnight Band -,244.99,"Savage,MD,USA",https://www.ebay.com/itm/Apple-Watch-Series-8-GPS-Cell-45mm-Midnight-Alum-Case-Midnight-Band-/186293158625
Apple Watch Series 8 GPS + GSM Aluminum -  Cellular 41mm Smart Watch Excellent,249.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Series-8-GPS-GSM-Aluminum-Cellular-41mm-Smart-Watch-Excellent-/165820446800?var=465324521756
Apple Watch Series 8 -  GPS + GSM Cellular 45mm Smart Watch - Excellent,269.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Series-8-GPS-GSM-Cellular-45mm-Smart-Watch-Excellent-/165844429183?var=465346090610
Apple Watch Series 8 GPS + Cellular 45mm Silver Case M/L White Sport Band,289.0,"Miami,FL,USA",https://www.ebay.com/itm/Apple-Watch-Series-8-GPS-Cellular-45mm-Silver-Case-M-L-White-Sport-Band-/225850951490
Apple Watch Gen 9 Series 9 41mm Aluminum Case with S/M Sport Band - Starlight...,289.94,"Mason,MI,USA",https://www.ebay.com/itm/Apple-Watch-Gen-9-Series-9-41mm-Aluminum-Case-S-M-Sport-Band-Starlight-/126319407955
Apple Watch Series 9 41mm GPS Starlight Case w Sport Band MR8T3LL/A 2023 Model,319.0,USA,https://www.ebay.com/itm/Apple-Watch-Series-9-41mm-GPS-Starlight-Case-w-Sport-Band-MR8T3LL-A-2023-Model-/145400118156
Apple Watch Series 9 41mm Midnight Case w Midnight Sport Band S/M MR8W3LL/A 2023,329.0,USA,https://www.ebay.com/itm/Apple-Watch-Series-9-41mm-Midnight-Case-w-Midnight-Sport-Band-S-M-MR8W3LL-A-2023-/145389117148
Apple Watch Series 9 - GPS + GSM Cellular 45mm Smart Watch - Excellent,339.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Series-9-GPS-GSM-Cellular-45mm-Smart-Watch-Excellent-/155919790464?var=456323776104
Apple Watch Series 9 - GPS + GSM Cellular 41mm Smart Watch - Excellent,349.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Series-9-GPS-GSM-Cellular-41mm-Smart-Watch-Excellent-/186156628205?var=694246157038
Apple Watch Ultra GPS & Cellular 49mm Titanium Trail Alpine Loop Ocean Excellent,489.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Ultra-GPS-Cellular-49mm-Titanium-Trail-Alpine-Loop-Ocean-Excellent-/165868496837?var=0
Apple Watch Ultra 2 2nd Generation GPS & Cellular 49mm - Titanium - Excellent,729.99,"Addison,TX,USA",https://www.ebay.com/itm/Apple-Watch-Ultra-2-2nd-Generation-GPS-Cellular-49mm-Titanium-Excellent-/186153928007?var=0
